Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2019-11-18,2019,11,18,Monday,46,2019-46,303.11,306.38,302.75,304.54,1241300,289.59,0.0028981203224056618,286.2835714285714,280.48019999999997
2019-11-19,2019,11,19,Tuesday,46,2019-46,304.5,304.64,301.45,302.24,1761400,287.41,-0.007552413388514756,286.49071428571426,280.5922
2019-11-20,2019,11,20,Wednesday,46,2019-46,302.44,303.17,298.01,300.57,1979500,285.82,-0.005525418016555705,286.7257142857143,280.79220000000004
2019-11-21,2019,11,21,Thursday,46,2019-46,300.69,301.87,299.52,300.27,1302500,285.53,-0.0009982156188446112,287.00928571428574,281.0014
2019-11-22,2019,11,22,Friday,46,2019-46,301.94,301.94,297.23,299.31,1277300,284.62,-0.003197075615813505,287.17857142857144,281.1544
2019-11-25,2019,11,25,Monday,47,2019-47,300.29,300.63,297.55,299.05,1613000,284.37,-0.0008686048818146164,287.1692857142857,281.3632
2019-11-26,2019,11,26,Tuesday,47,2019-47,299.26,301.35,298.82,301.24,3359100,286.46,0.007322971054207095,287.14714285714285,281.5622
2019-11-27,2019,11,27,Wednesday,47,2019-47,301.82,302.79,300.57,300.76,1906500,286.0,-0.0015932308516396487,286.84499999999997,281.73260000000005
2019-11-29,2019,11,29,Friday,47,2019-47,300.82,300.89,299.66,299.81,981600,285.1,-0.0031585747284997856,286.6542857142857,281.9724
2019-12-02,2019,12,2,Monday,48,2019-48,299.75,300.2,294.27,297.39,2705500,282.79,-0.008071906419492736,286.41928571428576,282.1938
2019-12-03,2019,12,3,Tuesday,48,2019-48,295.13,296.19,292.7,295.67,1921400,281.16,-0.005783552433286654,286.09142857142854,282.3598
2019-12-04,2019,12,4,Wednesday,48,2019-48,296.04,297.16,295.15,296.52,1742000,281.97,0.0028747331632190676,285.65857142857146,282.5354
2019-12-05,2019,12,5,Thursday,48,2019-48,297.13,297.13,292.5,293.1,1941100,278.72,-0.011533507065414894,284.87857142857143,282.6346
2019-12-06,2019,12,6,Friday,48,2019-48,294.98,295.99,294.26,294.95,1462000,280.47,0.0063116517664063565,284.2864285714286,282.7736
2019-12-09,2019,12,9,Monday,49,2019-49,295.0,297.19,294.55,295.16,1960000,280.67,0.000711814709691172,283.6492857142857,282.9604
2019-12-10,2019,12,10,Tuesday,49,2019-49,296.03,296.69,294.55,295.78,1565900,281.26,0.002100871401705895,283.21,283.118
